span,ce_label,index,topic- Jeffery ,topic- Debdeep
to make inroads in the Indian market,cause,MIR_51_1_0,increase market,Increased competition
"From to Uber and , many foreign companies have had to launch low-price versions of their products",effect,MIR_51_1_0,lower price,Price reduction
"there's price parity with its internal combustion engine (ICE) equivalent. """,cause,MIR_51_3_0,lower price,Cost reduction
Foreign or local electric cars (EVs) will grow in India,effect,MIR_51_3_0,increase production,Increased demand
"""Given these conditions",cause,MIR_51_6_0,lower price,Competition
local as well as foreign players may hesitate to expand in the Indian market,effect,MIR_51_6_0,increase market,Supply reduction
they aren’t purely electric,cause,MIR_78_0_0,no electric car,Hybrid
"Toyota in India has largely pivoted toward hybrid vehicles, which attract taxes of as much as 43%",effect,MIR_78_0_0,higher tax and duty,Taxation
The government keeps taxes on cars and motorbikes so high,cause,MIR_78_2_0,higher tax and duty,Taxation
companies find it hard to build scale,effect,MIR_78_2_0,difficult to expand ,Supply reduction
import duties would,cause,MIR_78_8_0,higher tax and duty,Taxation
his vehicles unaffordable in India.,effect,MIR_78_8_0,higher price,Supply reduction
marks a shift away from the current policy that incentivises both hybrid vehicles - which combine fossil fuel and electric power - and electric cars,cause,MIR_94_1_0,higher price,Hybrid
", and is worrying some automakers.",effect,MIR_94_1_0,increase concern for car manufacturer,Uncertainly
to bring down their cost and having favorable tariff structures for charging cars,cause,MIR_94_6_0,lower price,Incentives
"bulk procurement of electric vehicles, building standardized, swappable batteries for two- and three-wheelers",effect,MIR_94_6_0,higher sales,Cost reduction
to bring them to cost parity with conventional models by 2025.,cause,MIR_94_7_0,lower price,Cost reduction
"setting up battery swapping stations by 2018, common manufacturing facilities for components and increasing subsidies on all battery electric vehicles",effect,MIR_94_7_0,higher incentive,improved infrastructure
parts are delivered to factories right as they are required,cause,MIR_143_1_0,better time management,Low delivery time
minimizing the need to stockpile them,effect,MIR_143_1_0,lower cost,risk mitigation
"From fashion to food processing to pharmaceuticals, companies have embraced Just In Time to stay nimble",cause,MIR_143_3_0,better time management,process improvement
"allowing them to adapt to changing market demands, while cutting costs",effect,MIR_143_3_0,lower cost,innovation
"to stay nimble, allowing them to adapt to changing market demands",cause,MIR_143_3_1,changing market demand,Strategy
"From fashion to food processing to pharmaceuticals, companies have embraced Just In Time",effect,MIR_143_3_1,better time management,process improvement
", while reinvigorating concerns that some industries have gone too far",cause,MIR_143_4_0,increase concern for car manufacturer, Business hurdles
", leaving them vulnerable to disruption.",effect,MIR_143_4_0,increase velnarability,risk
As the pandemic has hampered factory operations and sown chaos in global shipping,cause,MIR_143_5_0,increase pandemic,transportation disruption
many economies around the world have been bedeviled by shortages of a vast range of goods — from electronics to lumber to clothing,effect,MIR_143_5_0,increase shortage of supply,raw material shortage
sanctions imposed over the invasion of Ukraine battered the ruble and many global auto companies joined a boycott of the country,cause,MIR_328_0_0,increase conflict,global politics
leaving buyers confronting sparse showrooms,effect,MIR_328_0_0,decrease sales,long delay
"sanctions imposed over the invasion of Ukraine battered the ruble and many global auto companies joined a boycott of the country, leaving buyers confronting sparse showrooms",cause,MIR_328_0_1,increase conflict,global politics
Russian vehicle sales plunged by 63 percent in March,effect,MIR_328_0_1,decrease sales,sales decrese
Wednesday’s vote will determine,cause,MIR_387_2_0,increase green technology,policymaking
how fast companies will have to transition production and when they will have to stop selling combustion engine vehicles,effect,MIR_387_2_0,decrease sales,adoption
A narrow majority,cause,MIR_387_5_0,low support,disintegration
it may be difficult for the ENVI committee to adopt the ambitious 70% proposal.,effect,MIR_387_5_0,increase difficulty,low adoption
"to start producing 150,000 passenger cars per year from 2024.",cause,MIR_455_3_0,increase green technology,supply increase
it would set up a facility in Thailand,effect,MIR_455_3_0,increase investment,expansion
to produce EVs,cause,MIR_455_6_0,increase green technology,green energy adoption
The 17.9 billion baht ($491.49 million) project,effect,MIR_455_6_0,increase investment,expansion
to attract EV makers and stimulate demand.,cause,MIR_455_12_0,increase green technology,policymaking
and has recently offered incentives including tax breaks and subsidies,effect,MIR_455_12_0,higher incentive,Cost reduction
rising costs and travel restrictions back home,cause,MIR_455_13_0,higher cost,transportation disruption
Investment interest in Thailand from Chinese auto and consumer goods companies has increased,effect,MIR_455_13_0,increase investment,cost increase
to improve road safety.,cause,MIR_553_0_0,improve road safety,Compliance
