span,ce_label,index
to make inroads in the Indian market,cause,MIR_51_1_0
"From to Uber and , many foreign companies have had to launch low-price versions of their products",effect,MIR_51_1_0
"there's price parity with its internal combustion engine (ICE) equivalent. """,cause,MIR_51_3_0
Foreign or local electric cars (EVs) will grow in India,effect,MIR_51_3_0
"""Given these conditions",cause,MIR_51_6_0
local as well as foreign players may hesitate to expand in the Indian market,effect,MIR_51_6_0
they aren’t purely electric,cause,MIR_78_0_0
"Toyota in India has largely pivoted toward hybrid vehicles, which attract taxes of as much as 43%",effect,MIR_78_0_0
The government keeps taxes on cars and motorbikes so high,cause,MIR_78_2_0
companies find it hard to build scale,effect,MIR_78_2_0
import duties would,cause,MIR_78_8_0
his vehicles unaffordable in India.,effect,MIR_78_8_0
marks a shift away from the current policy that incentivises both hybrid vehicles - which combine fossil fuel and electric power - and electric cars,cause,MIR_94_1_0
", and is worrying some automakers.",effect,MIR_94_1_0
to bring down their cost and having favorable tariff structures for charging cars,cause,MIR_94_6_0
"bulk procurement of electric vehicles, building standardized, swappable batteries for two- and three-wheelers",effect,MIR_94_6_0
to bring them to cost parity with conventional models by 2025.,cause,MIR_94_7_0
"setting up battery swapping stations by 2018, common manufacturing facilities for components and increasing subsidies on all battery electric vehicles",effect,MIR_94_7_0
parts are delivered to factories right as they are required,cause,MIR_143_1_0
minimizing the need to stockpile them,effect,MIR_143_1_0
"From fashion to food processing to pharmaceuticals, companies have embraced Just In Time to stay nimble",cause,MIR_143_3_0
"allowing them to adapt to changing market demands, while cutting costs",effect,MIR_143_3_0
"to stay nimble, allowing them to adapt to changing market demands",cause,MIR_143_3_1
"From fashion to food processing to pharmaceuticals, companies have embraced Just In Time",effect,MIR_143_3_1
", while reinvigorating concerns that some industries have gone too far",cause,MIR_143_4_0
", leaving them vulnerable to disruption.",effect,MIR_143_4_0
As the pandemic has hampered factory operations and sown chaos in global shipping,cause,MIR_143_5_0
many economies around the world have been bedeviled by shortages of a vast range of goods — from electronics to lumber to clothing,effect,MIR_143_5_0
sanctions imposed over the invasion of Ukraine battered the ruble and many global auto companies joined a boycott of the country,cause,MIR_328_0_0
leaving buyers confronting sparse showrooms,effect,MIR_328_0_0
"sanctions imposed over the invasion of Ukraine battered the ruble and many global auto companies joined a boycott of the country, leaving buyers confronting sparse showrooms",cause,MIR_328_0_1
Russian vehicle sales plunged by 63 percent in March,effect,MIR_328_0_1
Wednesday’s vote will determine,cause,MIR_387_2_0
how fast companies will have to transition production and when they will have to stop selling combustion engine vehicles,effect,MIR_387_2_0
A narrow majority,cause,MIR_387_5_0
it may be difficult for the ENVI committee to adopt the ambitious 70% proposal.,effect,MIR_387_5_0
"to start producing 150,000 passenger cars per year from 2024.",cause,MIR_455_3_0
it would set up a facility in Thailand,effect,MIR_455_3_0
to produce EVs,cause,MIR_455_6_0
The 17.9 billion baht ($491.49 million) project,effect,MIR_455_6_0
to attract EV makers and stimulate demand.,cause,MIR_455_12_0
and has recently offered incentives including tax breaks and subsidies,effect,MIR_455_12_0
rising costs and travel restrictions back home,cause,MIR_455_13_0
Investment interest in Thailand from Chinese auto and consumer goods companies has increased,effect,MIR_455_13_0
to improve road safety.,effect,MIR_553_0_0
"Union minister Nitin Gadkari on Tuesday in New Delhi said that efforts are being made to improve road engineering, automobile manufacturing, and emergency services, and the cooperation of all stakeholders is necessary",cause,MIR_553_0_0
to improve the quality of roads and reduce accidents,cause,MIR_553_1_0
The government is also planning to conduct a road safety audit,effect,MIR_553_1_0
to improve the safety of people on the road,cause,MIR_553_3_0
the education and cooperation of people are very important and various initiatives through campaigns and advertisements are being taken,effect,MIR_553_3_0
"""That day is not far when the cars will run 100 per cent on ethanol instead of petrol",cause,MIR_553_10_0
"as a result pollution will be reduced, import bill will come down, and ultimately the farmers will be benefitted",effect,MIR_553_10_0
his luxury car hit a road divider,cause,MIR_553_11_0
"Mistry, 54, was killed in a car crash in Maharashtra's Palghar district near Mumbai on September 4",effect,MIR_553_11_0
"to increase the production of the future-generation electrified dual-clutch transmissions (eDCT) (pictured, below) for Stellantis hybrid and PHEVs",cause,MIR_654_1_0
"To advance its electrified model range, the automaker has signed a new agreement with Punch Powertrain",effect,MIR_654_1_0
To advance its electrified model range,cause,MIR_654_1_1
the automaker has signed a new agreement with Punch Powertrain,effect,MIR_654_1_1
that the automaker has been using a defeat device to fraudulently pass the jurisdiction’s emissions tests.,cause,MIR_801_0_0
"Prosecutors in Germany, Hungary, and Italy raided the offices of Suzuki this week",effect,MIR_801_0_0
"to “counter the use of faulty emission devices in engines, used in cars of a Japanese producer",cause,MIR_801_5_0
"Jeep And Suzuki Caught Cheating EU’s Emission Rules With Grand Cherokee, Vitara, S-CrossThe searches were conducted",effect,MIR_801_5_0
The devices were allegedly fitted in the Italian-built diesel engines of large numbers of cars,cause,MIR_801_6_0
giving the impression that the vehicles’ nitrogen oxide emissions were in line with EU regulations,effect,MIR_801_6_0
carmaker is implementing a furlough scheme,cause,MIR_937_0_0
mitigating the impact of a fall in output brought on by a global chip shortage,effect,MIR_937_0_0
on by a global chip shortage,cause,MIR_937_1_0
impact of a fall in output,effect,MIR_937_1_0
"The French furlough deal,",cause,MIR_937_2_0
the company to reduce the number of hours worked by staff affected by the chip shortage.,effect,MIR_937_2_0
chip shortage,cause,MIR_937_2_1
the company to reduce the number of hours worked by staff affected by the,effect,MIR_937_2_1
there is plenty of work to do.,cause,MIR_937_5_0
White collar workers are having to go into partial unemployment,effect,MIR_937_5_0
the chip shortage,cause,MIR_937_8_0
this summer forecast it would produce 1.4 million fewer vehicles this year,effect,MIR_937_8_0
the merger between PSA and FCA,cause,MIR_937_8_1
it would produce 1.4 million fewer vehicles this year,effect,MIR_937_8_1
Technogoical advancements such us automated control and advanced systems,cause,MIR_1785_4_0
a major shift among automotive industry towards automotive camless piston engine,effect,MIR_1785_4_0
a major shift among automotive industry towards automotive camless piston engine,cause,MIR_1785_4_1
persist in future augmenting the demand for automotive camless piston engine,effect,MIR_1785_4_1
the rise in usage of advanced emission free features in vehicles,cause,MIR_1785_5_0
Implementation of automotive camless piston engine,effect,MIR_1785_5_0
the use of stronger steel,cause,MIR_2060_8_0
continue with its Global C platform but will receive structural updates for an improved build quality,effect,MIR_2060_8_0
"their growing tech presence, connection to Walmart and broad, diverse talent",cause,MIR_3225_4_0
Entering new locationsWe strategically chose Atlanta and Toronto as our newest tech hubs,effect,MIR_3225_4_0
all in support of keeping local talent on Canadian soil.,cause,MIR_3225_5_0
plans to create several hundred new tech jobs in the next 12 months –,effect,MIR_3225_5_0
Every new hire is an integral part of our Walmart Global Tech team,cause,MIR_3225_9_0
and we’re committed to helping new associates find opportunities for personal and professional growth,effect,MIR_3225_9_0
